event,event_date,High,Low
Biden AI Executive Order,2023-10-30,0.005286669847020933,-0.0004729079875476286
ChatGPT Launch,2022-11-30,0.04700332104575162,0.004174117659222196
Claude 3 Launch,2024-03-04,-0.036481054058441556,-0.0021800624737857294
DeepSeek R1 Announcement,2024-01-25,-0.003434014583333325,0.0005823658250277072
DeepSeek R1 Market Crash,2025-01-27,-0.013149355709219858,0.004638382652695838
DeepSeek V3 Disruption,2025-01-20,0.019957362403100788,-0.007253760499725648
EU AI Act Vote,2023-07-18,0.00956976644444444,-0.0018445061590486728
GPT-4 Release,2023-03-14,-0.004709874810801526,0.005577094937208087
Microsoft-OpenAI $10B Investment,2023-01-23,0.06599694041277529,0.001159287233129136
NVIDIA Becomes Most Valuable Company,2024-06-18,0.011221170175438597,-0.002949061137348559
NVIDIA Q1 2024 Earnings Surge,2023-05-25,0.012312297329059828,-0.003447469852189855
OpenAI o1 Release,2024-09-10,-0.04202153729752771,0.0018656368804801093
